bce_loss: tf.Tensor(0.73763055, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.012894103, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445277, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013817999, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073274, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.017050913, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073274, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.016838893, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652193, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.018279057, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376298, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.02074546, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762953, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.020919655, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445267, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.017461056, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445266, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.012750672, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652182, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00945961, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762906, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009711983, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445261, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010113411, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307315, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013996011, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073137, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013910671, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521724, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0141457515, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762834, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.016709285, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762816, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.016547952, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452525, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013589606, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445251, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008836523, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521647, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008663786, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376277, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0076843863, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445246, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006809195, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73073024, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009789957, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307302, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010990523, shape=(), dtype=float32) 
